Date,Volume,Low,Close,Open,Market Cap,High
"Jan 17, 2017","4,816,480",3.85,3.94,3.91,"192,814,000",3.95
"Jan 16, 2017","8,159,260",3.87,3.90,3.92,"193,560,000",3.96
"Jan 15, 2017","9,341,360",3.88,3.93,3.89,"191,859,000",3.95
"Jan 14, 2017","3,999,180",3.87,3.90,3.89,"191,987,000",3.95
"Jan 13, 2017","7,720,620",3.80,3.89,3.95,"194,684,000",3.96
"Jan 12, 2017","13,690,900",3.78,3.96,3.84,"189,108,000",4.02
"Jan 11, 2017","21,863,300",3.80,3.85,4.60,"226,517,000",4.64
"Jan 10, 2017","15,157,900",4.29,4.59,4.30,"211,857,000",4.68
"Jan 09, 2017","11,165,200",3.93,4.30,4.00,"196,828,000",4.36
"Jan 08, 2017","11,728,600",3.90,3.99,3.96,"194,906,000",4.02
"Jan 07, 2017","14,628,400",3.61,3.96,3.86,"190,143,000",3.96
"Jan 06, 2017","11,063,700",3.84,3.86,4.30,"211,689,000",4.35
"Jan 05, 2017","19,196,000",4.23,4.29,4.91,"241,730,000",4.95
"Jan 04, 2017","13,762,400",4.63,4.84,4.63,"227,855,000",4.84
"Jan 03, 2017","10,055,700",4.56,4.63,4.66,"228,878,000",4.73
"Jan 02, 2017","14,595,300",4.48,4.65,4.52,"222,154,000",4.74
"Jan 01, 2017","11,337,500",4.33,4.51,4.33,"212,691,000",4.52
"Dec 31, 2016","9,210,720",4.29,4.33,4.39,"215,734,000",4.40
"Dec 30, 2016","11,912,800",4.29,4.39,4.56,"224,021,000",4.56
"Dec 29, 2016","9,352,850",4.51,4.56,4.58,"224,755,000",4.63
"Dec 28, 2016","10,319,300",4.49,4.57,4.49,"220,199,000",4.67
"Dec 27, 2016","9,294,450",4.33,4.47,4.37,"214,286,000",4.58
"Dec 26, 2016","7,603,100",4.28,4.36,4.35,"213,135,000",4.47
"Dec 25, 2016","11,363,100",4.22,4.35,4.56,"223,317,000",4.57
"Dec 24, 2016","19,773,600",4.42,4.55,4.65,"227,716,000",4.77
"Dec 23, 2016","15,539,100",3.71,4.66,3.72,"182,056,000",4.66
"Dec 22, 2016","3,657,740",3.66,3.71,3.67,"179,542,000",3.75
"Dec 21, 2016","2,913,250",3.65,3.65,3.66,"179,441,000",3.69
"Dec 20, 2016","2,335,510",3.64,3.66,3.66,"179,159,000",3.66
"Dec 19, 2016","2,274,070",3.65,3.66,3.68,"179,953,000",3.68
"Dec 18, 2016","1,951,490",3.66,3.68,3.70,"181,204,000",3.71
"Dec 17, 2016","2,559,210",3.61,3.70,3.63,"177,535,000",3.71
"Dec 16, 2016","1,625,780",3.61,3.63,3.63,"177,349,000",3.65
"Dec 15, 2016","2,679,340",3.60,3.62,3.61,"176,603,000",3.65
"Dec 14, 2016","2,618,560",3.59,3.62,3.66,"178,719,000",3.66
"Dec 13, 2016","1,962,750",3.65,3.65,3.67,"179,068,000",3.70
"Dec 12, 2016","2,465,660",3.62,3.66,3.64,"177,808,000",3.67
"Dec 11, 2016","1,948,170",3.63,3.64,3.69,"180,064,000",3.69
"Dec 10, 2016","2,093,810",3.64,3.68,3.69,"180,350,000",3.70
"Dec 09, 2016","1,758,140",3.68,3.69,3.69,"180,109,000",3.71
"Dec 08, 2016","2,683,090",3.60,3.69,3.60,"175,746,000",3.73
"Dec 07, 2016","2,537,240",3.51,3.62,3.54,"172,683,000",3.63
"Dec 06, 2016","3,007,340",3.49,3.54,3.49,"170,093,000",3.56
"Dec 05, 2016","11,106,200",3.33,3.53,3.88,"189,313,000",3.92
"Dec 04, 2016","1,908,090",3.90,3.90,3.93,"191,594,000",3.95
"Dec 03, 2016","1,805,780",3.91,3.92,3.95,"192,376,000",3.95
"Dec 02, 2016","2,559,070",3.92,3.95,3.92,"190,840,000",3.96
"Dec 01, 2016","1,985,600",3.89,3.91,3.91,"190,306,000",3.92
"Nov 30, 2016","1,857,280",3.88,3.89,3.89,"189,196,000",3.92
"Nov 29, 2016","2,436,960",3.87,3.87,3.89,"189,365,000",3.90
"Nov 28, 2016","1,726,410",3.88,3.88,3.90,"189,561,000",3.91
"Nov 27, 2016","1,631,940",3.88,3.88,3.91,"190,001,000",3.92
"Nov 26, 2016","1,782,340",3.88,3.89,3.92,"190,557,000",3.93
"Nov 25, 2016","2,211,790",3.89,3.92,3.91,"190,123,000",3.92
"Nov 24, 2016","2,089,790",3.89,3.91,3.93,"190,992,000",3.95
"Nov 23, 2016","2,184,200",3.92,3.93,3.97,"192,719,000",3.97
"Nov 22, 2016","2,347,880",3.91,3.95,3.95,"191,849,000",3.97
"Nov 21, 2016","1,999,840",3.92,3.94,3.93,"190,816,000",3.96
"Nov 20, 2016","2,680,300",3.90,3.92,3.97,"192,391,000",3.97
"Nov 19, 2016","2,048,720",3.94,3.95,3.98,"192,896,000",3.98
"Nov 18, 2016","2,650,960",3.94,3.96,3.96,"191,930,000",4.00
"Nov 17, 2016","3,120,160",3.94,3.94,4.06,"196,573,000",4.07
"Nov 16, 2016","4,232,760",3.90,4.02,3.90,"188,998,000",4.03
"Nov 15, 2016","3,032,290",3.86,3.89,3.89,"188,377,000",3.96
"Nov 14, 2016","2,525,810",3.86,3.88,3.88,"187,837,000",3.89
"Nov 13, 2016","3,344,370",3.69,3.88,3.77,"182,326,000",3.91
"Nov 12, 2016","2,592,430",3.75,3.76,3.81,"184,604,000",3.83
"Nov 11, 2016","2,124,360",3.80,3.82,3.84,"185,609,000",3.84
"Nov 10, 2016","2,334,820",3.81,3.82,3.86,"186,617,000",3.87
"Nov 09, 2016","2,894,790",3.81,3.86,3.85,"185,956,000",3.94
"Nov 08, 2016","2,493,340",3.82,3.84,3.84,"185,467,000",3.86
"Nov 07, 2016","2,806,430",3.79,3.84,3.89,"187,897,000",3.89
"Nov 06, 2016","2,192,880",3.84,3.89,3.86,"186,487,000",3.92
"Nov 05, 2016","2,318,820",3.85,3.87,3.88,"187,313,000",3.93
"Nov 04, 2016","3,481,430",3.82,3.88,3.86,"186,157,000",3.89
"Nov 03, 2016","5,883,490",3.81,3.86,4.11,"198,519,000",4.18
"Nov 02, 2016","3,646,100",4.05,4.10,4.09,"197,384,000",4.13
"Nov 01, 2016","4,714,890",3.99,4.09,4.00,"192,875,000",4.15
"Oct 31, 2016","3,893,350",3.98,3.99,4.04,"194,664,000",4.05
"Oct 30, 2016","4,364,420",4.02,4.03,4.10,"197,445,000",4.10
"Oct 29, 2016","5,732,580",3.97,4.09,3.98,"191,631,000",4.10
"Oct 28, 2016","4,260,230",3.95,3.97,4.04,"194,431,000",4.04
"Oct 27, 2016","6,216,070",3.96,4.02,3.96,"190,729,000",4.06
"Oct 26, 2016","5,418,040",3.90,3.96,3.91,"188,315,000",3.97
"Oct 25, 2016","3,154,970",3.87,3.90,3.87,"186,325,000",3.92
