Date,Close,High,Open,Market Cap,Volume,Low
"Sep 21, 2017",17.45,19.82,19.65,"982,515,000","21,587,400",16.75
"Sep 20, 2017",19.75,20.47,19.90,"995,012,000","14,058,200",19.69
"Sep 19, 2017",19.94,21.71,20.99,"1,049,420,000","30,451,900",19.04
"Sep 18, 2017",21.22,21.38,19.91,"995,579,000","27,647,600",19.54
"Sep 17, 2017",19.86,20.64,20.64,"1,031,920,000","18,695,100",18.36
"Sep 16, 2017",20.76,22.98,18.75,"937,288,000","50,210,000",18.50
"Sep 15, 2017",18.74,19.12,15.81,"790,612,000","50,811,700",13.32
"Sep 14, 2017",15.69,20.75,20.08,"1,004,180,000","42,221,500",14.95
"Sep 13, 2017",20.06,21.29,20.83,"1,041,450,000","37,258,400",17.80
"Sep 12, 2017",20.97,23.60,21.87,"1,093,590,000","40,702,300",19.86
"Sep 11, 2017",21.88,23.97,22.68,"1,133,790,000","27,835,300",21.70
"Sep 10, 2017",22.75,23.64,21.76,"1,088,180,000","54,002,500",19.37
"Sep 09, 2017",21.96,24.63,24.63,"1,231,580,000","47,199,500",21.55
"Sep 08, 2017",24.86,30.59,30.59,"1,529,630,000","112,252,000",22.41
"Sep 07, 2017",30.78,33.55,21.30,"1,065,110,000","214,001,000",20.54
"Sep 06, 2017",21.36,24.32,22.97,"1,148,320,000","77,746,300",20.30
"Sep 05, 2017",22.80,23.85,21.88,"1,093,860,000","91,402,300",18.93
"Sep 04, 2017",21.83,30.44,30.44,"1,522,090,000","189,917,000",17.40
"Sep 03, 2017",30.32,32.65,31.77,"1,588,690,000","43,232,300",28.58
"Sep 02, 2017",31.72,34.81,31.69,"1,584,390,000","92,722,600",28.55
"Sep 01, 2017",32.01,33.57,33.17,"1,658,680,000","75,418,900",28.87
"Aug 31, 2017",33.16,35.09,32.93,"1,646,720,000","49,957,300",32.60
"Aug 30, 2017",33.10,35.84,33.48,"1,673,910,000","97,289,600",29.71
"Aug 29, 2017",33.66,38.46,38.46,"1,922,840,000","168,534,000",30.69
"Aug 28, 2017",38.45,40.31,40.23,"2,011,600,000","41,401,000",37.38
"Aug 27, 2017",40.09,41.23,38.58,"1,928,770,000","50,649,600",37.42
"Aug 26, 2017",38.59,40.52,40.31,"2,015,360,000","41,017,800",37.70
"Aug 25, 2017",40.30,42.26,41.96,"2,098,230,000","47,772,200",39.78
"Aug 24, 2017",42.05,42.13,39.92,"1,996,230,000","63,875,500",39.31
"Aug 23, 2017",40.00,44.03,35.83,"1,791,670,000","131,763,000",35.25
"Aug 22, 2017",35.85,36.17,35.16,"1,758,180,000","68,265,300",31.60
"Aug 21, 2017",35.30,38.28,38.04,"1,902,060,000","85,955,000",34.15
"Aug 20, 2017",38.19,40.65,39.63,"1,981,640,000","85,862,200",38.16
"Aug 19, 2017",39.97,42.22,38.86,"1,943,180,000","168,358,000",35.40
"Aug 18, 2017",38.85,41.16,40.85,"2,042,450,000","209,845,000",31.32
"Aug 17, 2017",40.69,46.34,45.72,"2,286,130,000","191,410,000",38.91
"Aug 16, 2017",45.54,51.24,46.98,"2,349,050,000","170,273,000",44.69
"Aug 15, 2017",47.49,47.99,47.50,"2,375,010,000","262,801,000",39.52
"Aug 14, 2017",47.43,52.02,47.63,"2,381,360,000","343,705,000",44.79
"Aug 13, 2017",46.65,52.63,36.86,"1,843,040,000","448,654,000",35.32
"Aug 12, 2017",36.61,37.37,33.16,"1,657,810,000","177,772,000",30.45
"Aug 11, 2017",33.50,39.13,36.32,"1,815,780,000","382,070,000",27.58
"Aug 10, 2017",36.18,38.44,21.68,"1,084,180,000","360,125,000",21.36
"Aug 09, 2017",21.75,21.94,18.34,"917,009,000","116,795,000",17.46
"Aug 08, 2017",18.27,19.34,18.73,"936,705,000","124,589,000",15.59
"Aug 07, 2017",18.68,20.24,15.20,"759,959,000","166,514,000",14.36
"Aug 06, 2017",15.21,16.19,14.17,"708,471,000","81,450,800",13.42
"Aug 05, 2017",14.02,14.95,10.39,"519,506,000","82,680,400",10.24
"Aug 04, 2017",10.43,11.22,10.84,"541,832,000","56,285,500",9.97
