Date,Low,High,Close,Open,Market Cap,Volume
"Jun 12, 2017",2518.56,2997.26,2659.63,2953.22,"48,391,200,000","2,569,530,000"
"Jun 11, 2017",2840.53,2996.60,2958.11,2942.41,"48,208,700,000","1,752,400,000"
"Jun 10, 2017",2746.55,2950.99,2947.71,2828.14,"46,331,400,000","2,018,890,000"
"Jun 09, 2017",2795.62,2901.71,2823.81,2807.44,"45,987,100,000","1,348,950,000"
"Jun 08, 2017",2670.95,2815.30,2805.62,2720.49,"44,557,100,000","1,281,170,000"
"Jun 07, 2017",2700.56,2869.38,2732.16,2869.38,"46,989,800,000","1,517,710,000"
"Jun 06, 2017",2690.84,2999.91,2863.20,2690.84,"44,061,000,000","2,089,610,000"
"Jun 05, 2017",2510.22,2686.81,2686.81,2512.40,"41,133,900,000","1,369,310,000"
"Jun 04, 2017",2452.54,2585.89,2511.81,2547.79,"41,708,200,000","1,355,120,000"
"Jun 03, 2017",2423.57,2581.91,2515.35,2493.72,"40,817,100,000","1,514,950,000"
"Jun 02, 2017",2373.32,2488.55,2488.55,2404.03,"39,344,600,000","1,317,030,000"
"Jun 01, 2017",2288.33,2448.39,2407.88,2288.33,"37,446,200,000","1,653,180,000"
"May 31, 2017",2145.57,2311.08,2286.41,2187.19,"35,786,700,000","1,544,830,000"
"May 30, 2017",2124.57,2301.96,2175.47,2255.36,"36,897,000,000","1,443,970,000"
"May 29, 2017",2107.17,2307.05,2255.61,2159.43,"35,323,500,000","994,625,000"
"May 28, 2017",2054.08,2267.34,2155.80,2054.08,"33,595,900,000","1,147,140,000"
"May 27, 2017",1855.83,2260.20,2038.87,2196.27,"35,917,100,000","1,700,480,000"
"May 26, 2017",2071.99,2573.79,2202.42,2320.89,"37,950,600,000","1,763,480,000"
"May 25, 2017",2285.30,2763.71,2304.98,2446.24,"39,995,400,000","2,406,700,000"
"May 24, 2017",2321.37,2523.72,2443.64,2321.37,"37,949,200,000","1,725,380,000"
"May 23, 2017",2178.50,2320.82,2320.42,2191.56,"35,822,600,000","1,378,750,000"
